"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Posisi.buah..V17.",0.17278230594076,0.000812262350961825,-0.1695247458865,0.0875698129222578,-0.104721659357665,0.283110553726716,-0.362678279763229,0.0741027833274911,0.431840776165121
"Bentuk.buah..V18.",-0.00426803377948681,0.12722506315719,-0.0372242397075973,0.175738744521328,0.461494886493945,0.104907640818979,-0.217502806620252,-0.146928185672948,-0.16579462834424
"Ujung.buah..V19.",-0.0507430462529537,-0.135536035326958,-0.14630918312065,0.170398324013705,-0.238929732449834,0.21408896563843,0.394924636732391,0.0699525639667291,0.125032447733379
"Permukaan.tangkai.buah..V20.",0.101953216223474,-0.107067129977513,0.139957170759247,-0.0750395961175639,-0.242375995018669,0.367190310325301,0.264297512773853,-0.174385991259631,-0.103475069413285
"Warna.kulit.buah.belum.masak..V21.",0.0617536891063388,0.282069911707564,-0.0153695340466242,-0.219559299570332,0.0808708259406401,0.097821545012356,-0.187552953962681,0.301396811674413,-0.0556890750466312
"Panjang.helaian.daun..V22.",-0.273220459724441,0.0296897037871714,0.0681524226645074,-0.0909745854528202,0.0962748608109711,0.246876274507701,-0.0733748749939238,0.0826251124026644,-0.177348037322365
"Lebar.helaian.daun..V23.",-0.291477130545137,-0.091115230769681,0.0300930004864532,-0.0794368546960166,-0.0420593679027172,0.0697774234956318,-0.122325535241011,0.170199006977606,0.14955397358132
"Panjang.tangkai.daun..V24.",-0.0517316721384559,0.252535899899319,0.284675345024735,-0.142393720727431,-0.072926737494613,-0.0301426875550079,0.0987336283429563,-0.00362706990059056,0.419766135949048
"Tinggi.batang.semu..V25.",-0.205949122908925,0.187883290290047,0.141597099444497,0.222971978942167,0.0520350334425558,0.0308360456303682,-0.00898093685108614,0.069961463241814,-0.0242326328387178
"Keliling.batang.semu..V26.",-0.295071092762532,0.0146893828768237,-0.0135635034447349,-0.156023326171993,-0.0209154990933679,0.035903228366314,0.056489302754729,0.123534570679253,0.0971326566447755
"Jumlah.sisir.pertandan..V27.",-0.182424391463881,-0.0241585727464939,-0.156401356941931,0.201666142976424,-0.0897649214119527,0.210857371097107,0.077311159609108,-0.374957877266333,-0.00613504074662322
"Jumlah.buah.persisir..V28.",-0.223950710083622,0.00528443005633276,0.164657816981873,0.194870765847633,0.187497593164774,0.172188625624071,0.0299571020055644,-0.0317442560045622,-0.0808373253615544
"Panjang.buah..K1.",-0.141978686808239,0.285709411932008,0.129847161984597,-0.121332609128894,-0.0369258958100887,0.0996315096202123,0.0649490564077309,-0.273153485922681,-0.0320152819643454
"Lebar.buah..K2.",-0.248142345637125,0.14102236940193,-0.0822232370285107,-0.163805044716175,-0.0914173641747585,0.171955357354709,0.060861584150129,-0.0527681121870721,-0.149839700356722
"Panjang.tangkai.buah..K3.",-0.210516420177557,-0.154396475467507,0.175136299960245,-0.126389100075529,0.169732054847627,-0.153802405727444,0.0105958715179794,-0.161388860423025,0.0929315383426706
"Lebar.tangkai.buah..K4.",0.0122337729787925,0.281622329912617,-0.263386112424798,-0.0673708871141707,-0.195006703278699,0.00982165541003987,-0.032113866423509,-0.0240159181240452,-0.0868226345806197
"Diameter.buah.tanpa.kulit..K5.",0.132964133877604,0.224739082338669,0.172137227550498,-0.103201587816537,0.173871940855894,0.102777722516834,0.254416621709406,0.210445239186232,-0.113275978375121
"Diameter.buah.dengan.kulit..K6.",0.220789738422673,0.199081600655746,0.0809683484834015,-0.0900960374211826,0.215734719595201,0.12788450865198,0.11674495896672,-0.0811859075373698,0.102590976810519
"Ketebalan.kulit..K7.",0.0268097227033588,0.269268204278821,0.0646469658853631,0.285021237248352,0.0134177536528811,-0.0360243866414429,0.229149784978963,-0.105881750980558,0.230033858340266
